Date,Open,High,Low,Close,Volume,MACD,MACDh,MACDs
2023-02-22,15.61,15.69,15.48,15.48,9875600,-0.03285356882225621,0.03774478163246353,-0.07059835045471974
2023-02-23,15.27,15.44,15.01,15.39,16330000,-0.07952417542430545,-0.007140659975668567,-0.07238351544863689
2023-02-24,15.39,15.48,15.01,15.01,10072300,-0.19562631352000892,-0.09859423845709761,-0.09703207506291131
2023-02-27,14.8,14.84,14.63,14.63,8046000,-0.34992200591043066,-0.20231194467801544,-0.1476100612324152
2023-02-28,14.72,14.97,14.55,14.63,6163100,-0.4318806138313054,-0.22741644207911213,-0.20446417175219325
2023-03-01,14.55,14.97,14.42,14.97,6320200,-0.3866530880111565,-0.14575113300717057,-0.24090195500398592
2023-03-02,14.97,15.01,14.72,14.76,3836100,-0.3970982918653174,-0.12495706948906521,-0.2721412223762522
2023-03-03,14.84,14.84,14.55,14.55,4741300,-0.4407922785752785,-0.13492084495922096,-0.3058714336160575
2023-03-06,14.76,15.01,14.67,14.67,6831800,-0.42458254742969004,-0.094968891050906,-0.32961365637878404
2023-03-07,14.76,14.93,14.72,14.76,6173500,-0.37989786682029525,-0.04022736835320895,-0.3396704984670863
2023-03-08,14.67,14.93,14.59,14.93,7409200,-0.3004087621092211,0.031409389086292205,-0.3318181511955133
2023-03-09,14.97,15.22,14.93,15.1,8058600,-0.20244997634352124,0.10349453988159363,-0.30594451622511487
2023-03-10,15.1,15.1,14.93,15.06,5294100,-0.14646055075965414,0.1275871723723686,-0.27404772313202275
2023-03-13,14.72,14.93,14.72,14.84,8529600,-0.16042056228812562,0.0909017286751177,-0.2513222909632433
2023-03-14,14.84,14.89,14.59,14.59,8471100,-0.2232719799628189,0.02244024880033957,-0.24571222876315846
2023-03-15,14.93,15.14,14.84,15.1,6281500,-0.13266578808524265,0.09043715254233264,-0.2231029406275753
2023-03-16,15.01,15.01,14.76,14.8,5752900,-0.14523139336272806,0.06229723781187779,-0.20752863117460585
2023-03-17,15.01,15.01,14.8,14.8,4267500,-0.14820012691541073,0.04746280340735609,-0.19566293032276683
2023-03-20,14.93,14.93,14.67,14.67,5987700,-0.176238406616541,0.015539618964980684,-0.19177802558152168
2023-03-21,14.8,14.84,14.59,14.72,8042400,-0.17565075289288679,0.012901818150907934,-0.18855257104379472
2023-03-22,14.84,14.89,14.72,14.76,5287300,-0.16019627118995494,0.022685039883071856,-0.1828813110730268
2023-03-23,14.67,14.8,14.67,14.76,3781500,-0.14578892441072888,0.02967390932983832,-0.1754628337405672
2023-03-24,15.01,15.22,14.93,15.06,16307000,-0.06104198748323597,0.09153667700586501,-0.15257866448910098
2023-03-27,15.1,15.27,15.01,15.22,8038500,0.030108291535988485,0.14614956482007158,-0.11604127328408309
2023-03-28,15.31,15.52,15.27,15.27,12385600,0.09603676803850725,0.16966243305807227,-0.07362566501956502
2023-03-29,15.39,15.61,15.35,15.52,10440000,0.19227817392769353,0.21272307115780684,-0.020444897230113314
2023-03-30,15.61,15.69,15.48,15.48,8978500,0.23470066719648308,0.2041164515412771,0.03058421565520597
2023-03-31,15.52,15.61,15.39,15.48,10539900,0.25283802290792856,0.17780304580217807,0.0750349771057505
2023-04-03,15.69,15.86,15.61,15.86,20422800,0.3462276018161674,0.21695409976833352,0.1292735020478339
2023-04-04,15.9,15.95,15.78,15.9,11313000,0.4010902810999859,0.21745342324172162,0.18363685785826428
